coalescence,,bouncing,,separation,
X,Y,X,Y,X,Y
2.2726443879845863,0.8623649116835439,3.7069510460607074,0.8646290465712793,19.990791505087465,0.658741688041721
1.6781950134328536,0.74351150605998,2.7251674548084743,0.8040687567620137,25.148612343637936,0.7797133514058912
2.913896013906953,0.6991648533326851,3.8298829335894276,0.7504042012618375,24.35707686510011,0.6375591106356597
4.215393685950815,0.6641391424855037,6.441539733287948,0.8132195086371428,24.551883638662304,0.6258950170797827
5.842531697888427,0.62443624560849,8.33353594048212,0.8364413269957818,24.81263903915586,0.6258828606508553
2.191500224893934,0.6176134498729653,24.830417816462244,0.8986093045307011,25.986190296738435,0.628159151967518
1.4709279002200315,0.5640339893752812,13.801953538128641,0.7219672748933275,27.15837395606667,0.6094564860626542
3.165230181981741,0.5546309915999077,13.409148928410788,0.6963445618215194,27.412139409926937,0.5022185482792575
3.42750513609122,0.5779287876393431,12.105827792027815,0.7033983297066655,24.407070179064206,0.4044565468447989
4.9271525996523255,0.5825208786666829,9.17050607213625,0.6755631465700636,21.73326363647415,0.38826418351345116
4.923657626335688,0.5289079879894483,8.654009798081715,0.752510302573516,37.18043787456997,0.3479169959032835
4.7906966849418335,0.48928714700769516,7.348409331274846,0.7245991417561178,46.76745359283258,0.4127381140516163
2.9641932385942305,0.4707242800354968,4.610933492177338,0.7317197700003648,47.040821288338336,0.6061985631101008
3.6148660969353656,0.4520459269884879,2.845668056551707,0.6525479875031912,38.4089969730492,0.19401356657468305
4.334070823354931,0.4846464302646455,5.262366127326436,0.7246963931875373,21.914850293577757,0.17380350348281692
7.932069875153475,0.6779518848543054,5.652131629812427,0.7036992013226195,18.844288301868446,0.07138255066191745
8.906559609049248,0.626624402815429,5.1945940360559675,0.6850725130985522,19.427189068939107,0.013080317525923535
9.754622482099657,0.63590887540876,5.257503555755461,0.6501045452887759,23.665376059128867,0.026868747036870255
11.188169363367818,0.6265180340623139,,,31.032475899879657,0.03818030415385176
16.92174906699408,0.5796306876891845,,,30.185932580445176,0.05220578402888365
9.487181045696017,0.5333572409768906,,,27.45240758074909,0.11993228869087413
10.982877669855702,0.47734345558648705,,,24.714627830928386,0.12239092644144856
10.652830624475753,0.41442177945806646,,,24.129447733433828,0.14572823087489806
5.629490280935073,0.35638090954401236,,,24.131727063857724,0.18069315957744247
4.643755850281421,0.23521474331700332,,,24.851235701000476,0.21795565334727274
8.690175174140846,0.30728717132055294,,,25.564970034402698,0.16664032773732385
11.883517098017288,0.2931522835851741,,,28.693123108155753,0.15250847910917686
14.952711491472266,0.3745942791845468,,,45.24577260184049,0.07015171223301442
23.302202744921658,0.45579010709813894,,,,
19.70937017541727,0.3417384909009129,,,,
28.638875044067063,0.3203431759886215,,,,
33.3318644315046,0.3108003792805826,,,,
39.98036736728219,0.2988354141087515,,,,
23.939351576081016,0.22965317708270017,,,,
18.725611164464325,0.2508752628827756,,,,
10.055494098053755,0.2512794641446129,,,,
10.83730443344963,0.24425000911732175,,,,
11.488129247152356,0.22790265131714904,,,,
16.693816024604615,0.08313781743475035,,,,
8.941813252938816,0.167415300081448,,,,
7.307533339006335,0.09756142035715587,,,,
11.086359271100521,0.06475121868200007,,,,
15.777069328114175,0.020243493271416613,,,,
16.428046097178495,0.006227130718080343,,,,
