1 sat,,3 sat,,5 sat,
X,Y,X,Y,X,Y
41.61358811040341,0.45255474452554734,234.8195329087049,0.9391727493917273,262.3142250530786,0.776155717761557
56.47558386411889,0.41605839416058377,224.41613588110403,0.9367396593673964,256.36942675159236,0.7615571776155716
78.02547770700637,0.3844282238442821,208.06794055201698,0.9294403892944038,244.47983014861995,0.7396593673965935
99.57537154989383,0.3649635036496349,197.66454352441616,0.9221411192214111,231.10403397027602,0.7080291970802919
118.1528662420382,0.35279805352798044,179.83014861995753,0.9124087591240875,223.67303609341826,0.6885644768856447
139.70276008492573,0.34063260340632584,169.42675159235665,0.8978102189781021,215.49893842887474,0.6593673965936739
159.7664543524416,0.33819951338199505,152.3354564755839,0.8832116788321167,211.0403397027601,0.6301703163017031
180.57324840764335,0.32603406326034046,140.4458598726115,0.8661800486618003,203.6093418259024,0.5936739659367396
203.6093418259024,0.32360097323600956,123.35456475583864,0.8321167883211678,203.6093418259024,0.557177615571776
231.10403397027602,0.3211678832116788,114.43736730360935,0.802919708029197,205.09554140127392,0.5182481751824817
254.140127388535,0.3187347931873479,101.80467091295115,0.7566909975669098,208.06794055201698,0.4720194647201945
266.02972399150747,0.3138686131386861,97.34607218683651,0.7177615571776155,214.0127388535032,0.44282238442822375
,,89.91507430997878,0.6399026763990266,220.70063694267515,0.4184914841849148
,,88.42887473460722,0.6058394160583941,228.87473460721867,0.3965936739659366
,,89.91507430997878,0.5644768856447687,240.76433121019107,0.3844282238442821
,,90.65817409766457,0.5231143552311435,253.39702760084924,0.3673965936739658
,,92.88747346072189,0.4817518248175181,265.2866242038217,0.36009732360097324
,,101.06157112526539,0.43309002433090016,,
,,118.1528662420382,0.386861313868613,,
,,129.29936305732485,0.3722627737226277,,
,,147.87685774946925,0.35766423357664234,,
,,156.05095541401272,0.34793187347931864,,
,,178.343949044586,0.33819951338199505,,
,,188.00424628450105,0.33819951338199505,,
,,203.6093418259024,0.33090024330900236,,
,,214.0127388535032,0.32603406326034046,,
,,234.8195329087049,0.3187347931873479,,
,,242.25053078556266,0.3187347931873479,,
,,263.05732484076435,0.3187347931873479,,
