Default Dataset,
X,Y
3.1239122868082134,0.9969108945353288
3.5676992690567353,0.8822659241211276
4.097757446173736,0.7733454328476952
4.977126945452737,0.6386119536572025
6.463875491024812,0.5038349659390383
8.645268758390928,0.3632775595445279
11.951419621102877,0.25988886678931933
15.600914922181891,0.19945552185371185
23.242752722390726,0.12727487444681995
30.186216498433694,0.10385485555168816
36.261250062155035,0.08909303366316945
41.20804534831684,0.07727736064840118
43.29073641290835,0.074262841231167
