Coalescence,,Bouncing,,Stretching,,Reflexive,
X,Y,X,Y,X,Y,X,Y
20.53398225,0.405289881,21.03711828,0.399864864,33.40165199,0.416409207,,
21.03369092,0.386277841,20.287898,0.429741626,30.13126778,0.451671816,,
20.5230147,0.361811407,19.78613291,0.440601452,30.38969051,0.476133354,,
20.77184083,0.34822928,20.04249923,0.456910776,28.62734346,0.489686103,,
20.7629297,0.31290302,21.05768242,0.481387002,49.30664565,0.468348357,,
20.00205641,0.296583904,21.31473421,0.500413731,50.57750968,0.506416502,,
20.50039415,0.272137055,20.81502553,0.519425771,48.55948178,0.506377332,,
20.24334236,0.253110327,20.56962676,0.546594921,35.17907941,0.462639359,,
20.49011207,0.231375986,19.57432224,0.600923428,35.18593413,0.489813405,,
19.73060973,0.220491679,19.8320595,0.622667561,35.94612195,0.503415117,,
20.47434623,0.16887568,20.08979676,0.644411694,33.67858245,0.514240669,,
20.21181067,0.128109715,20.85889571,0.693339666,31.66261096,0.522353713,,
20.20769784,0.111805287,21.11800391,0.720518608,27.88771978,0.55760653,,
19.69633616,0.084621448,19.86153477,0.739515959,65.9437228,0.422475629,,
20.95417623,0.071058906,20.87671796,0.763992186,66.20146005,0.444219762,,
19.93693663,0.038430466,20.37632382,0.780286821,76.77965521,0.379207693,,
28.76375227,0.03044962,21.63964767,0.788463516,76.52123248,0.354746155,,
30.03118895,0.054930743,21.64718785,0.818354966,79.04925112,0.376534354,,
28.27021284,0.073918302,20.39277513,0.845504531,108.037838,0.295575282,,
29.28471056,0.095677123,19.63875655,0.856359461,111.0683072,0.30922106,,
28.03098331,0.125544093,20.16451314,0.940608797,107.5429276,0.333609154,,
28.53823217,0.136423504,21.69037255,0.989551457,107.7986085,0.347201073,,
28.79254207,0.144580614,29.50406142,0.965246598,106.7937074,0.363485916,,
29.80909621,0.174491649,27.98231484,0.932608366,108.5711348,0.409716068,,
28.05086198,0.204348827,30.49936594,0.910918091,81.58480995,0.428214004,,
28.8110498,0.217950538,32.76210714,0.881070706,80.32834082,0.447211355,,
29.07632724,0.269586122,33.76289543,0.848481436,78.81756178,0.458051596,,
28.84258149,0.34295115,35.0234774,0.845788512,78.06011584,0.455319503,,
28.5999246,0.380989919,35.03238853,0.881114772,79.83343044,0.485245227,,
28.35863865,0.424463496,33.77866127,0.910981742,79.33646365,0.515126886,,
29.61784968,0.416335763,34.53953456,0.927300858,78.32950612,0.523259515,,
32.90331425,0.440856056,33.78894335,0.951742811,78.34527196,0.585759821,,
28.87479864,0.470669167,33.03766666,0.973467359,76.34163896,0.642786148,,
36.18123865,0.435484898,35.55266134,0.943624871,79.87455873,0.648289504,,
37.18613977,0.419200055,31.98958083,0.818555712,77.61044658,0.672702079,,
34.65675018,0.391977046,28.96116804,0.813062148,82.41491586,0.718990986,,
33.90204613,0.400114572,29.45333653,0.764158657,77.87846591,0.735207282,,
36.16890016,0.386571615,29.95167426,0.739711808,81.16872879,0.778749406,,
34.90146348,0.362090492,30.20050039,0.726129681,79.65726428,0.786872243,,
33.64156699,0.36750082,28.4223875,0.677182125,66.54762313,0.81650909,,
35.40185763,0.345795857,29.17366419,0.655457577,65.79497549,0.832798829,,
35.39568838,0.321339215,30.19158927,0.690803421,50.64811324,0.786309177,,
37.15803544,0.307786466,34.48401138,0.707191085,104.1306509,0.806369009,,
34.13030812,0.305010307,36.48764438,0.650164758,107.1384995,0.730340434,,
32.86355691,0.283246589,36.76183295,0.737126602,106.6291942,0.71130881,,
34.11865511,0.258814428,35.25242486,0.753401652,106.3707715,0.686847272,,
36.64324639,0.267015604,33.99252836,0.75881198,107.6203859,0.640675875,,
33.60660794,0.228913185,35.26407787,0.79959753,107.3496247,0.567301054,,
33.35024163,0.212603861,33.24467903,0.794123551,105.5804229,0.553679758,,
35.87346197,0.215370228,32.48174932,0.769652221,104.3150427,0.537350849,,
35.61161189,0.177321667,35.25996504,0.783293103,105.5687699,0.507483879,,
32.83133975,0.155528572,30.43835898,0.669069081,67.72320664,0.476857995,,
36.35946122,0.142010096,48.37166261,0.761808469,65.70929157,0.493123253,,
36.35534839,0.125705668,47.37087432,0.79439774,62.95643829,0.580026342,,
36.10035302,0.114831154,51.40830106,0.799910889,64.97926449,0.599087344,,
33.57713267,0.112064787,49.1421325,0.81617125,68.25581794,0.588281376,,
35.5896768,0.09036472,48.39291223,0.846048012,64.47818487,0.612664574,,
35.07488775,0.049593858,51.18072454,0.897732558,67.01100182,0.653474606,,
36.84066217,0.049628132,49.43688522,0.984655232,64.4918943,0.667012667,,
36.33204236,0.033313912,66.84306132,0.987710476,66.01364088,0.699650899,,
35.57116907,0.016994795,66.83826302,0.968688644,64.50697467,0.726795568,,
34.0562772,0.011530609,65.06220653,0.927893301,50.38352127,0.737390998,,
32.54618364,0.025088254,66.06505124,0.903456245,50.12372759,0.707494651,,
34.06244645,0.03598725,67.57377386,0.88446379,49.86119203,0.666728686,,
32.29941392,0.046822595,66.30496624,0.854547858,48.34630017,0.661264499,,
49.95235974,0.028143499,65.04095692,0.843653759,50.60698495,0.6232649,,
