coalescence,,bouncing,,separation,
X,Y,X,Y,X,Y
13.104456269671466,0.01928033790718109,12.589733510272026,0.2605958753584724,58.044950519603525,0.7096077184669651
12.614796894250986,0.05407359137186418,14.391658905811802,0.41273061611074324,61.43879653544888,0.7443165479014033
13.931284115882534,0.20621888512791575,21.88481924023649,0.6690894604512992,43.59525009299835,0.7751392336936305
16.965536527903467,0.20397901007548036,22.030450692408962,0.46908629455016504,41.91099068961242,0.6534367175937041
18.65691920884131,0.2669857191476339,26.14427539118666,0.5711707766219307,42.52280108379349,0.6121190695416567
22.539369299729053,0.27559697023261465,32.68106975799325,0.7079851941356958,33.66276293468483,0.618833418197072
21.908827323837386,0.47126285157991654,29.641013193892974,0.7580512823218719,33.05833964315018,0.5992813404425402
26.515477299169746,0.5124670548413225,41.64795707038062,0.8208337400636875,29.546827635150997,0.5341402863557576
32.49401776598187,0.24929360830943526,42.14394824806946,0.7338664359076508,36.464585438437744,0.5318159872730776
37.959682249056165,0.21221826777719444,42.27032046834231,0.692559340859384,36.71178955199861,0.4948540915314784
39.784560427818775,0.1752220747733083,71.36099451507627,0.9854051957714115,42.41779869617638,0.477338743506605
39.66531148509784,0.15783336279380222,86.53146509989736,0.9807275768456545,41.32740958054448,0.4621450563134665
42.580314954397835,0.13820477576186097,90.18069380723358,0.911083028395495,39.18040096137865,0.1534960782399699
38.09528834763705,0.09482401547070352,,,39.197021942333116,0.016539195175166777
36.527903461121426,0.010075480359540867,,,38.10109249971639,0.0469978023369626
37.0143969354077,0.0013692522405346352,,,41.25617680502534,0.04910312659119498
39.3204920865663,-0.0008547933062297286,,,43.193708299146,0.08384361503697502
44.767161162835485,0.11859201823559051,,,41.1282216341854,0.10345373431230032
45.485556895200766,0.19901118354575653,,,56.540356005582545,0.10746651399987872
47.0582182836067,0.2402813430807912,,,55.70139220502376,0.020528230604238695
46.08364838446705,0.2707373119916421,,,62.497790464833436,0.018206569772503567
43.53536179654336,0.26861879648268394,,,62.976896836473294,0.07037006746007668
45.09878930664126,0.3859761132759426,,,61.0303952891391,0.1095428174937143
37.806927519331786,0.4709172407061014,,,60.38956413456135,0.38999153121446606
40.48369692828443,0.41433731093634163,,,59.03007342252382,0.5921949984038583
39.84735080031342,0.6578294054173845,,,72.62603584327735,0.5614646513947115
63.91136532124664,0.37034975292779904,,,74.79309516962635,0.7048958022789212
63.20378641775648,0.20079991768657057,,,72.75768456544048,0.4766791807703167
,,,,70.98873730671514,0.052804592667245354
,,,,91.36975350821419,0.1132310923150388
,,,,91.97233002408723,0.14800060152121552
,,,,91.09537540991823,0.3741066222736975
,,,,90.59964805732392,0.45890000765092775
