Coalescence,,Bouncing,,Stretching,,Reflexive,
X,Y,X,Y,X,Y,X,Y
19.49367089,0.288828338,16.4556962,0.013623978,30.88607595,0.566757493,,
20.50632911,0.27520436,15.94936709,0.035422343,28.60759494,0.580381471,,
19.74683544,0.253405995,16.4556962,0.059945504,29.36708861,0.544959128,,
20,0.220708447,15.69620253,0.070844687,30.88607595,0.523160763,,
19.74683544,0.201634877,16.70886076,0.089918256,42.02531646,0.501362398,,
19.74683544,0.141689373,15.94936709,0.10626703,44.05063291,0.51226158,,
19.74683544,0.119891008,16.20253165,0.128065395,47.84810127,0.485013624,,
19.74683544,0.100817439,15.94936709,0.141689373,47.59493671,0.435967302,,
19.74683544,0.068119891,16.70886076,0.166212534,54.6835443,0.438692098,,
19.74683544,0.049046322,16.4556962,0.223433243,55.44303797,0.48773842,,
19.74683544,0.024523161,15.44303797,0.234332425,69.87341772,0.416893733,,
31.13924051,0.490463215,18.48101266,0.297002725,70.37974684,0.430517711,,
29.87341772,0.465940054,16.4556962,0.316076294,71.39240506,0.446866485,,
30.88607595,0.427792916,16.20253165,0.346049046,72.65822785,0.46866485,,
42.78481013,0.471389646,16.96202532,0.38147139,70.12658228,0.476839237,,
45.06329114,0.446866485,19.74683544,0.351498638,73.16455696,0.509536785,,
48.60759494,0.452316076,15.69620253,0.403269755,88.35443038,0.435967302,,
49.87341772,0.449591281,14.93670886,0.422343324,92.15189873,0.408719346,,
53.92405063,0.408719346,19.49367089,0.411444142,90.63291139,0.457765668,,
56.4556962,0.367847411,20.25316456,0.427792916,86.32911392,0.460490463,,
70.88607595,0.441416894,19.74683544,0.446866485,89.11392405,0.476839237,,
71.13924051,0.397820163,20,0.457765668,41.26582278,0.708446866,,
70.88607595,0.356948229,17.46835443,0.48773842,29.87341772,0.653950954,,
87.08860759,0.422343324,19.24050633,0.536784741,48.60759494,0.732970027,,
87.08860759,0.414168937,15.69620253,0.566757493,70.88607595,0.844686649,,
86.83544304,0.365122616,16.20253165,0.615803815,70.63291139,0.814713896,,
86.83544304,0.36239782,16.20253165,0.656675749,71.39240506,0.784741144,,
88.86075949,0.316076294,19.24050633,0.621253406,56.20253165,0.760217984,,
29.11392405,0.40599455,20.50632911,0.648501362,55.18987342,0.738419619,,
29.87341772,0.359673025,15.69620253,0.757493188,54.6835443,0.722070845,,
29.87341772,0.359673025,19.49367089,0.754768392,55.69620253,0.694822888,,
29.62025316,0.343324251,16.4556962,0.776566757,57.46835443,0.705722071,,
29.62025316,0.329700272,17.46835443,0.863760218,53.92405063,0.697547684,,
29.36708861,0.307901907,18.73417722,0.896457766,50.37974684,0.692098093,,
28.86075949,0.286103542,30.88607595,0.989100817,54.6835443,0.678474114,,
30.63291139,0.267029973,29.11392405,0.863760218,48.86075949,0.63760218,,
30.88607595,0.253405995,30.88607595,0.858310627,50.63291139,0.640326975,,
30.37974684,0.237057221,27.84810127,0.795640327,55.18987342,0.626702997,,
28.86075949,0.223433243,28.86075949,0.784741144,55.94936709,0.613079019,,
30.63291139,0.185286104,29.87341772,0.771117166,48.10126582,0.613079019,,
28.35443038,0.174386921,28.86075949,0.746594005,49.11392405,0.599455041,,
28.10126582,0.14986376,29.11392405,0.72479564,49.62025316,0.583106267,,
