expt 119,,expt 166,,expt 220,,predicted 119,,predicted 166,,predicted 220,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.5032467532467533,0.23254156769596201,0.3974953617810761,0.2299287410926366,0.4155844155844156,0.33966745843230406,0.3821892393320965,0.003919239904988214,0.34183673469387754,0.003919239904988214,0.3223562152133581,0.003919239904988214
0.5602968460111317,0.27826603325415683,0.4503710575139147,0.3109263657957245,0.4726345083487941,0.4376484560570072,0.3849721706864564,0.03527315914489315,0.34461966604823746,0.028741092636579535,0.32374768089053807,0.03396674584323045
0.6145640074211502,0.28479809976247034,0.5018552875695733,0.3448931116389549,0.5255102040816326,0.48990498812351546,0.38636363636363635,0.0692399049881236,0.3460111317254175,0.05878859857482188,0.326530612244898,0.0666270783847982
,,0.5547309833024119,0.3814726840855107,0.5811688311688312,0.5356294536817102,0.38775510204081637,0.10843230403800486,0.3487940630797774,0.08230403800475061,0.3293135435992579,0.09667458432304044
,,0.6089981447124304,0.326603325415677,0.6340445269016698,0.5356294536817102,0.38775510204081637,0.15676959619952496,0.3487940630797774,0.10843230403800486,0.32792207792207795,0.13064133016627083
,,,,0.6883116883116884,0.4298099762470309,0.3905380333951763,0.19465558194774352,0.3515769944341373,0.13586698337292163,0.3334879406307978,0.16199524940617582
,,,,0.741187384044527,0.33966745843230406,0.40166975881261596,0.21686460807600955,0.3515769944341373,0.16983372921615203,0.3404452690166976,0.19334916864608082
,,,,,,0.41836734693877553,0.24168646080760098,0.3585343228200371,0.19204275534441811,0.35018552875695735,0.2273159144893112
,,,,,,0.4461966604823748,0.26912114014251787,0.3682745825602969,0.21686460807600955,0.36131725417439703,0.2573634204275535
,,,,,,0.4865491651205937,0.2939429928741093,0.37940630797773656,0.24821852731591454,0.37940630797773656,0.2900237529691212
,,,,,,0.5199443413729128,0.30570071258907366,0.39471243042671617,0.27304038004750597,0.400278293135436,0.3252969121140143
,,,,,,0.5616883116883117,0.3122327790973872,0.41141001855287573,0.2900237529691212,0.42949907235621526,0.3527315914489312
,,,,,,0.6076066790352506,0.30831353919239907,0.4308905380333952,0.30700712589073637,0.46289424860853434,0.3736342042755345
,,,,,,0.6423933209647495,0.2965558194774347,0.4545454545454546,0.3279097387173397,0.4962894248608535,0.3853919239904989
,,,,,,0.6743970315398887,0.28610451306413304,0.4795918367346939,0.3409738717339668,0.5338589981447124,0.389311163895487
,,,,,,0.7050092764378479,0.27304038004750597,0.5171614100185529,0.3514251781472685,0.5672541743970316,0.389311163895487
,,,,,,0.7300556586270873,0.2586698337292162,0.5575139146567718,0.3527315914489312,0.6006493506493507,0.380166270783848
,,,,,,0.7467532467532468,0.24821852731591454,0.5853432282003711,0.348812351543943,0.6340445269016698,0.3697149643705464
,,,,,,,,0.6159554730983303,0.3409738717339668,0.666048237476809,0.3540380047505939
,,,,,,,,0.6437847866419296,0.33313539192399055,0.7008348794063081,0.33313539192399055
,,,,,,,,0.6716141001855288,0.3200712589073635,0.7342300556586271,0.3109263657957245
,,,,,,,,0.6952690166975881,0.3096199524940618,0.7676252319109462,0.28479809976247034
,,,,,,,,0.7244897959183675,0.2887173396674585,0.8010204081632654,0.25475059382422804
,,,,,,,,0.7481447124304268,0.2769596199524941,,
,,,,,,,,0.7731910946196661,0.2599762470308789,,
,,,,,,,,0.7871057513914658,0.24821852731591454,,
