1 sat,,3 sat,,5 sat,,6 sat,
X,Y,X,Y,X,Y,X,Y
40.144948131305966,0.4516129032258064,232.31372270380362,0.9408602150537634,333.54057126616453,0.8548387096774193,350.88046516034285,0.5994623655913978
52.22988015726398,0.4247311827956989,214.68369570366153,0.9327956989247311,313.6960589266258,0.836021505376344,343.1356875562502,0.5672043010752688
78.61422954857656,0.3817204301075269,183.8230069631945,0.911290322580645,288.336057031879,0.8091397849462365,341.9899578418833,0.5268817204301075
102.81962010326367,0.3602150537634409,158.47484723603807,0.8951612903225805,265.18461939273357,0.7876344086021505,343.04687129932256,0.48655913978494614
130.33785704135286,0.346774193548387,141.93133911231112,0.8736559139784945,246.41478376201977,0.7446236559139784,349.61631377007245,0.4516129032258064
153.4567287196248,0.33870967741935476,122.05722135379659,0.8279569892473118,222.12945857609768,0.6935483870967742,356.2005589503102,0.4301075268817204
176.57856093979441,0.33333333333333337,112.11276111979532,0.7983870967741935,209.94978920941688,0.6344086021505375,,
204.11160058737144,0.33333333333333337,97.73636966510347,0.7446236559139784,204.38693098384724,0.5833333333333333,,
241.54173179858836,0.3198924731182795,92.15574818814835,0.6774193548387096,205.4231206480034,0.5241935483870968,,
276.784022547487,0.3198924731182795,87.6764482970963,0.6102150537634408,208.67083510965838,0.4731182795698925,,
305.4095021552745,0.31182795698924737,88.6948747098669,0.5349462365591398,222.9228838046516,0.413978494623656,,
332.9395812609539,0.3091397849462366,95.22879067784567,0.4677419354838709,236.11209795841026,0.389784946236559,,
,,106.19167732461747,0.42204301075268813,260.3174885130974,0.368279569892473,,
,,120.4703708966889,0.38709677419354827,283.424518023779,0.34946236559139787,,
,,138.07375301975273,0.3709677419354839,308.7341907062669,0.3306451612903226,,
,,162.27322249064466,0.34408602150537626,330.75766188243085,0.32795698924731187,,
,,186.49637629671733,0.33870967741935476,351.66796930510156,0.314516129032258,,
,,215.11297427881195,0.32258064516129026,,,,
,,242.64601392638903,0.32258064516129026,,,,
,,274.5724977499881,0.31182795698924737,,,,
,,301.0042158116621,0.31182795698924737,,,,
,,326.3316517455354,0.3091397849462366,,,,
